x,BSpline3_NATURAL,BSpline3_COMPLETE,BSpline3_NOT_A_KNOT,BSpline3_SECOND,f_exact(x)
-5.00000000,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154
-4.95000000,0.03934330,0.03921354,0.03956082,0.03923206,0.03921184
-4.90000000,0.04022710,0.03999060,0.04062360,0.04002435,0.03998401
-4.85000000,0.04111501,0.04079319,0.04165454,0.04083912,0.04077888
-4.80000000,0.04200907,0.04162183,0.04265828,0.04167709,0.04159734
-4.75000000,0.04291133,0.04247699,0.04363950,0.04253897,0.04244032
-4.70000000,0.04382384,0.04335917,0.04460285,0.04342548,0.04330879
-4.65000000,0.04474865,0.04426887,0.04555300,0.04433734,0.04420378
-4.60000000,0.04568782,0.04520658,0.04649460,0.04527526,0.04512635
-4.55000000,0.04664338,0.04617280,0.04743232,0.04623995,0.04607764
-4.50000000,0.04761740,0.04716801,0.04837081,0.04723214,0.04705882
-4.45000000,0.04861192,0.04819271,0.04931473,0.04825253,0.04807115
-4.40000000,0.04962900,0.04924740,0.05026875,0.04930185,0.04911591
-4.35000000,0.05067068,0.05033256,0.05123752,0.05038081,0.05019450
-4.30000000,0.05173901,0.05144870,0.05222571,0.05149012,0.05130836
-4.25000000,0.05283604,0.05259630,0.05323798,0.05263051,0.05245902
-4.20000000,0.05396383,0.05377585,0.05427898,0.05380268,0.05364807
-4.15000000,0.05512442,0.05498786,0.05535337,0.05500735,0.05487721
-4.10000000,0.05631987,0.05623281,0.05646582,0.05624524,0.05614823
-4.05000000,0.05755222,0.05751121,0.05762099,0.05751706,0.05746301
-4.00000000,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353
-3.95000000,0.06013639,0.06017116,0.06007811,0.06016620,0.06023189
-3.90000000,0.06149562,0.06155899,0.06138938,0.06154995,0.06169031
-3.85000000,0.06290657,0.06299280,0.06276201,0.06298050,0.06320114
-3.80000000,0.06437461,0.06447837,0.06420066,0.06446356,0.06476684
-3.75000000,0.06590509,0.06602147,0.06570999,0.06600486,0.06639004
-3.70000000,0.06750337,0.06762787,0.06729465,0.06761011,0.06807352
-3.65000000,0.06917482,0.06930337,0.06895931,0.06928502,0.06982021
-3.60000000,0.07092479,0.07105372,0.07070863,0.07103532,0.07163324
-3.55000000,0.07275864,0.07288472,0.07254726,0.07286673,0.07351590
-3.50000000,0.07468173,0.07480213,0.07447987,0.07478495,0.07547170
-3.45000000,0.07669942,0.07681173,0.07651112,0.07679571,0.07750436
-3.40000000,0.07881707,0.07891931,0.07864567,0.07890472,0.07961783
-3.35000000,0.08104004,0.08113063,0.08088817,0.08111770,0.08181632
-3.30000000,0.08337369,0.08345147,0.08324330,0.08344037,0.08410429
-3.25000000,0.08582338,0.08588761,0.08571570,0.08587845,0.08648649
-3.20000000,0.08839447,0.08844483,0.08831004,0.08843764,0.08896797
-3.15000000,0.09109232,0.09112890,0.09103098,0.09112368,0.09155413
-3.10000000,0.09392228,0.09394560,0.09388318,0.09394227,0.09425071
-3.05000000,0.09688972,0.09690071,0.09687130,0.09689914,0.09706382
-3.00000000,0.10000000,0.10000000,0.10000000,0.10000000,0.10000000
-2.95000000,0.10325842,0.10324911,0.10327403,0.10325043,0.10306622
-2.90000000,0.10667005,0.10665308,0.10669850,0.10665550,0.10626993
-2.85000000,0.11023991,0.11021682,0.11027863,0.11022012,0.10961907
-2.80000000,0.11397303,0.11394525,0.11401961,0.11394921,0.11312217
-2.75000000,0.11787442,0.11784326,0.11792666,0.11784770,0.11678832
-2.70000000,0.12194909,0.12191576,0.12200497,0.12192051,0.12062726
-2.65000000,0.12620207,0.12616766,0.12625976,0.12617257,0.12464942
-2.60000000,0.13063837,0.13060386,0.13069624,0.13060879,0.12886598
-2.55000000,0.13526302,0.13522928,0.13531959,0.13523409,0.13328890
-2.50000000,0.14008103,0.14004881,0.14013505,0.14005341,0.13793103
-2.45000000,0.14509742,0.14506737,0.14514780,0.14507165,0.14280614
-2.40000000,0.15031720,0.15028985,0.15036305,0.15029375,0.14792899
-2.35000000,0.15574540,0.15572118,0.15578602,0.15572463,0.15331545
-2.30000000,0.16138704,0.16136624,0.16142191,0.16136921,0.15898251
-2.25000000,0.16724713,0.16722996,0.16727591,0.16723241,0.16494845
-2.20000000,0.17333069,0.17331723,0.17335325,0.17331915,0.17123288
-2.15000000,0.17964274,0.17963296,0.17965912,0.17963436,0.17785683
-2.10000000,0.18618829,0.18618206,0.18619873,0.18618295,0.18484288
-2.05000000,0.19297237,0.19296944,0.19297729,0.19296986,0.19221528
-2.00000000,0.20000000,0.20000000,0.20000000,0.20000000,0.20000000
-1.95000000,0.20728876,0.20729124,0.20728460,0.20729089,0.20822488
-1.90000000,0.21490653,0.21491105,0.21489896,0.21491041,0.21691974
-1.85000000,0.22293377,0.22293991,0.22292347,0.22293903,0.22611645
-1.80000000,0.23145091,0.23145829,0.23143854,0.23145724,0.23584906
-1.75000000,0.24053842,0.24054669,0.24052456,0.24054551,0.24615385
-1.70000000,0.25027674,0.25028557,0.25026193,0.25028431,0.25706941
-1.65000000,0.26074631,0.26075542,0.26073105,0.26075412,0.26863667
-1.60000000,0.27202760,0.27203672,0.27201232,0.27203542,0.28089888
-1.55000000,0.28420104,0.28420994,0.28418613,0.28420867,0.29390154
-1.50000000,0.29734710,0.29735558,0.29733288,0.29735437,0.30769231
-1.45000000,0.31154621,0.31155410,0.31153298,0.31155297,0.32232071
-1.40000000,0.32687883,0.32688599,0.32686682,0.32688497,0.33783784
-1.35000000,0.34342540,0.34343173,0.34341480,0.34343083,0.35429584
-1.30000000,0.36126639,0.36127180,0.36125731,0.36127103,0.37174721
-1.25000000,0.38048223,0.38048668,0.38047476,0.38048604,0.39024390
-1.20000000,0.40115337,0.40115684,0.40114755,0.40115635,0.40983607
-1.15000000,0.42336027,0.42336278,0.42335607,0.42336242,0.43057051
-1.10000000,0.44718338,0.44718496,0.44718072,0.44718474,0.45248869
-1.05000000,0.47270314,0.47270388,0.47270189,0.47270377,0.47562426
-1.00000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
-0.95000000,0.52908654,0.52908593,0.52908757,0.52908601,0.52562418
-0.90000000,0.55970382,0.55970272,0.55970566,0.55970287,0.55248619
-0.85000000,0.59152501,0.59152354,0.59152748,0.59152375,0.58055152
-0.80000000,0.62422331,0.62422158,0.62422623,0.62422183,0.60975610
-0.75000000,0.65747190,0.65747000,0.65747510,0.65747027,0.64000000
-0.70000000,0.69094396,0.69094197,0.69094731,0.69094225,0.67114094
-0.65000000,0.72431268,0.72431067,0.72431604,0.72431096,0.70298770
-0.60000000,0.75725123,0.75724928,0.75725450,0.75724955,0.73529412
-0.55000000,0.78943280,0.78943096,0.78943590,0.78943122,0.76775432
-0.50000000,0.82053058,0.82052888,0.82053342,0.82052913,0.80000000
-0.45000000,0.85021775,0.85021624,0.85022028,0.85021645,0.83160083
-0.40000000,0.87816749,0.87816618,0.87816967,0.87816637,0.86206897
-0.35000000,0.90405298,0.90405190,0.90405479,0.90405205,0.89086860
-0.30000000,0.92754741,0.92754656,0.92754885,0.92754668,0.91743119
-0.25000000,0.94832397,0.94832333,0.94832503,0.94832342,0.94117647
-0.20000000,0.96605583,0.96605539,0.96605656,0.96605546,0.96153846
-0.15000000,0.98041618,0.98041592,0.98041661,0.98041596,0.97799511
-0.10000000,0.99107820,0.99107808,0.99107841,0.99107810,0.99009901
-0.05000000,0.99771508,0.99771505,0.99771514,0.99771505,0.99750623
0.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
0.05000000,0.99771508,0.99771505,0.99771514,0.99771505,0.99750623
0.10000000,0.99107820,0.99107808,0.99107841,0.99107810,0.99009901
0.15000000,0.98041618,0.98041592,0.98041661,0.98041596,0.97799511
0.20000000,0.96605583,0.96605539,0.96605656,0.96605546,0.96153846
0.25000000,0.94832397,0.94832333,0.94832503,0.94832342,0.94117647
0.30000000,0.92754741,0.92754656,0.92754885,0.92754668,0.91743119
0.35000000,0.90405298,0.90405190,0.90405479,0.90405205,0.89086860
0.40000000,0.87816749,0.87816618,0.87816967,0.87816637,0.86206897
0.45000000,0.85021775,0.85021624,0.85022028,0.85021645,0.83160083
0.50000000,0.82053058,0.82052888,0.82053342,0.82052913,0.80000000
0.55000000,0.78943280,0.78943096,0.78943590,0.78943122,0.76775432
0.60000000,0.75725123,0.75724928,0.75725450,0.75724955,0.73529412
0.65000000,0.72431268,0.72431067,0.72431604,0.72431096,0.70298770
0.70000000,0.69094396,0.69094197,0.69094731,0.69094225,0.67114094
0.75000000,0.65747190,0.65747000,0.65747510,0.65747027,0.64000000
0.80000000,0.62422331,0.62422158,0.62422623,0.62422183,0.60975610
0.85000000,0.59152501,0.59152354,0.59152748,0.59152375,0.58055152
0.90000000,0.55970382,0.55970272,0.55970566,0.55970287,0.55248619
0.95000000,0.52908654,0.52908593,0.52908757,0.52908601,0.52562418
1.00000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
1.05000000,0.47270314,0.47270388,0.47270189,0.47270377,0.47562426
1.10000000,0.44718338,0.44718496,0.44718072,0.44718474,0.45248869
1.15000000,0.42336027,0.42336278,0.42335607,0.42336242,0.43057051
1.20000000,0.40115337,0.40115684,0.40114755,0.40115635,0.40983607
1.25000000,0.38048223,0.38048668,0.38047476,0.38048604,0.39024390
1.30000000,0.36126639,0.36127180,0.36125731,0.36127103,0.37174721
1.35000000,0.34342540,0.34343173,0.34341480,0.34343083,0.35429584
1.40000000,0.32687883,0.32688599,0.32686682,0.32688497,0.33783784
1.45000000,0.31154621,0.31155410,0.31153298,0.31155297,0.32232071
1.50000000,0.29734710,0.29735558,0.29733288,0.29735437,0.30769231
1.55000000,0.28420104,0.28420994,0.28418613,0.28420867,0.29390154
1.60000000,0.27202760,0.27203672,0.27201232,0.27203542,0.28089888
1.65000000,0.26074631,0.26075542,0.26073105,0.26075412,0.26863667
1.70000000,0.25027674,0.25028557,0.25026193,0.25028431,0.25706941
1.75000000,0.24053842,0.24054669,0.24052456,0.24054551,0.24615385
1.80000000,0.23145091,0.23145829,0.23143854,0.23145724,0.23584906
1.85000000,0.22293377,0.22293991,0.22292347,0.22293903,0.22611645
1.90000000,0.21490653,0.21491105,0.21489896,0.21491041,0.21691974
1.95000000,0.20728876,0.20729124,0.20728460,0.20729089,0.20822488
2.00000000,0.20000000,0.20000000,0.20000000,0.20000000,0.20000000
2.05000000,0.19297237,0.19296944,0.19297729,0.19296986,0.19221528
2.10000000,0.18618829,0.18618206,0.18619873,0.18618295,0.18484288
2.15000000,0.17964274,0.17963296,0.17965912,0.17963436,0.17785683
2.20000000,0.17333069,0.17331723,0.17335325,0.17331915,0.17123288
2.25000000,0.16724713,0.16722996,0.16727591,0.16723241,0.16494845
2.30000000,0.16138704,0.16136624,0.16142191,0.16136921,0.15898251
2.35000000,0.15574540,0.15572118,0.15578602,0.15572463,0.15331545
2.40000000,0.15031720,0.15028985,0.15036305,0.15029375,0.14792899
2.45000000,0.14509742,0.14506737,0.14514780,0.14507165,0.14280614
2.50000000,0.14008103,0.14004881,0.14013505,0.14005341,0.13793103
2.55000000,0.13526302,0.13522928,0.13531959,0.13523409,0.13328890
2.60000000,0.13063837,0.13060386,0.13069624,0.13060879,0.12886598
2.65000000,0.12620207,0.12616766,0.12625976,0.12617257,0.12464942
2.70000000,0.12194909,0.12191576,0.12200497,0.12192051,0.12062726
2.75000000,0.11787442,0.11784326,0.11792666,0.11784770,0.11678832
2.80000000,0.11397303,0.11394525,0.11401961,0.11394921,0.11312217
2.85000000,0.11023991,0.11021682,0.11027863,0.11022012,0.10961907
2.90000000,0.10667005,0.10665308,0.10669850,0.10665550,0.10626993
2.95000000,0.10325842,0.10324911,0.10327403,0.10325043,0.10306622
3.00000000,0.10000000,0.10000000,0.10000000,0.10000000,0.10000000
3.05000000,0.09688972,0.09690071,0.09687130,0.09689914,0.09706382
3.10000000,0.09392228,0.09394560,0.09388318,0.09394227,0.09425071
3.15000000,0.09109232,0.09112890,0.09103098,0.09112368,0.09155413
3.20000000,0.08839447,0.08844483,0.08831004,0.08843764,0.08896797
3.25000000,0.08582338,0.08588761,0.08571570,0.08587845,0.08648649
3.30000000,0.08337369,0.08345147,0.08324330,0.08344037,0.08410429
3.35000000,0.08104004,0.08113063,0.08088817,0.08111770,0.08181632
3.40000000,0.07881707,0.07891931,0.07864567,0.07890472,0.07961783
3.45000000,0.07669942,0.07681173,0.07651112,0.07679571,0.07750436
3.50000000,0.07468173,0.07480213,0.07447987,0.07478495,0.07547170
3.55000000,0.07275864,0.07288472,0.07254726,0.07286673,0.07351590
3.60000000,0.07092479,0.07105372,0.07070863,0.07103532,0.07163324
3.65000000,0.06917482,0.06930337,0.06895931,0.06928502,0.06982021
3.70000000,0.06750337,0.06762787,0.06729465,0.06761011,0.06807352
3.75000000,0.06590509,0.06602147,0.06570999,0.06600486,0.06639004
3.80000000,0.06437461,0.06447837,0.06420066,0.06446356,0.06476684
3.85000000,0.06290657,0.06299280,0.06276201,0.06298050,0.06320114
3.90000000,0.06149562,0.06155899,0.06138938,0.06154995,0.06169031
3.95000000,0.06013639,0.06017116,0.06007811,0.06016620,0.06023189
4.00000000,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353
4.05000000,0.05755222,0.05751121,0.05762099,0.05751706,0.05746301
4.10000000,0.05631987,0.05623281,0.05646582,0.05624524,0.05614823
4.15000000,0.05512442,0.05498786,0.05535337,0.05500735,0.05487721
4.20000000,0.05396383,0.05377585,0.05427898,0.05380268,0.05364807
4.25000000,0.05283604,0.05259630,0.05323798,0.05263051,0.05245902
4.30000000,0.05173901,0.05144870,0.05222571,0.05149012,0.05130836
4.35000000,0.05067068,0.05033256,0.05123752,0.05038081,0.05019450
4.40000000,0.04962900,0.04924740,0.05026875,0.04930185,0.04911591
4.45000000,0.04861192,0.04819271,0.04931473,0.04825253,0.04807115
4.50000000,0.04761740,0.04716801,0.04837081,0.04723214,0.04705882
4.55000000,0.04664338,0.04617280,0.04743232,0.04623995,0.04607764
4.60000000,0.04568782,0.04520658,0.04649460,0.04527526,0.04512635
4.65000000,0.04474865,0.04426887,0.04555300,0.04433734,0.04420378
4.70000000,0.04382384,0.04335917,0.04460285,0.04342548,0.04330879
4.75000000,0.04291133,0.04247699,0.04363950,0.04253897,0.04244032
4.80000000,0.04200907,0.04162183,0.04265828,0.04167709,0.04159734
4.85000000,0.04111501,0.04079319,0.04165454,0.04083912,0.04077888
4.90000000,0.04022710,0.03999060,0.04062360,0.04002435,0.03998401
4.95000000,0.03934330,0.03921354,0.03956082,0.03923206,0.03921184
5.00000000,0.03846154,0.03846154,0.03846154,0.03846154,0.03846154
